Facility Name,Address,Location,Contact,Responsible,Qualifications,Registration,Fee 2000,Fee 2001,Fee 2002,Fee 2003,Fee 2004,Fee 2005,Fee 2006,Fee 2007,Fee 2008,Fee 2009,Fee 2010,Fee 2011,Fee 2012,Fee 2013,Outstanding Balance,Registration Year
B. P. Clinic,P.O. Box 9043,,,Dr. K. Lubangumya,,,,,,,,,,,,,,,,,160000,
BP clinic,Box 9043  DSM,,,Dr K Rubagumya,,20000,,20000,,,,,,,,,,,,,280000,
Dr Mrs Chavda,Box 63141 Dsm,,,,,,,,,,,,,,,,,,,,280000,
International School of Tanganyika (Medical scheme clinic),,,,,,20000,,,,,,,,,20000,2000,,,,,200000,2008
,,,,,,,,,,,,,,,,,,,,,160000,
National Health Insurance Fund,Box 11360 DSM,,,,,40000,,,,,40000,,,,,,,,,,540000,2004
New Insurance Fund,P.O. Box 11360,,,,,,,,,,,,,,,,,,,,,
NSSF,Box 1322,,,,,20000,,,20000,,,,,,,,,,,,140000,2002
Tiptop ,P.O. Box 55168,,,Dr. Mtatifikoro,,20000,,,,,,,,,,,,,,,120000,2004
Kilimanjaro Medical Services Dispensary,P. O. Box ,Tabata,,,,20000,,,,,,,,,,,,20000,,,160000,2011
JD Pharmacy Limited, P. O. Box 1899 , Dar es Salaam ,,,,20000,,,,,,,,,,,,40000,80000,,80000,2011
"Tanzania Assemblies of God Manzese ""B""", P. O. Box 32514 , Dar es Salaam , 0754 555353/0764042205 , Dr. lilian Kitunga , Msc ,20000,,,,,,,,,,,,20000,,,160000,2011
Dar es Salaam Institute of Technology, P. O. Box 2958 , Dar es Salaam ,754493138, Dr Godwin Ndeki , AMO ,20000,,,,,,,,,,,,20000,,,80000,2011
Sisa Community Health Centre, P. O. Box 29825 , Dar es Salaam , 0759 221665 , Dr Omari Kabanda , MD ,20000,,,,,,,,,,,,40000,,,150000,2011
Members Nurraifo Dispensary, P. O. Box 40466 , Dar es Salaam ,,,,20000,,,,,,,,,,,,20000,,,80000,2011
Ami Trauma Centre & Well Woman Clinic, P. O. Box 3867 , Dar es Salaam ,,,,40000,,,,,,,,,,,40000,,,,190000,2010
Part II Pharmacy,, Dar es Salaam ,,,,20000,,,,,,,,,,,,,,,140000,2009
Cardinal Rugambwa Hospital, P. O. Box 40960 , Dar es Salaam , 255222843200/ 0712 409097/  cardinal_rugambwa@yahoo.com , Sr. Dr Leonilla Ifunya , AMO ,40000,,,,,,,,,,,,,150000,,,2012
Tiba Healthcare Dispensary, P. O. Box 20619 , Dar es Salaam , 022 2112998/022 2130883 / 0655 769293- 0683 769293 , Dr. Jamil Merali , MBBS ,40000,,,,,,,,,,,,,80000,,80000,2012
Total,,,,,,,,,,,,,,,,,,,,,160000,
Tayodea Hindumandal Dispensary,B0x 5344 Tanga,0714102833 dnywage@yahhoo.com,,,,20000,,,,,,,,,,20000,,20000,,,100000,2009
Bakwata Charitable Dispensary,BOX 5703,,, Dr. Abbas ,,20000,,,,,,,,,,,40000,,80000,,40000,2010
