1,A.A.R. Dispensary,P.O. Box 9600,,022 2701121/4  fax 2701120  ckiwale@aar.co.tz,Dr. Clautus Kiwale,Specialist obs/Gynae/head of doctors
2,A. B. Dar es Salaam Medical Centre,P.O. Box 9043,,Dr. Balu Patel,MBBS,
3,Abass Medical Centre,P.O. Box 21361,Swahili st,,Dr. Abbass Gulam,
4,Aga Khan Hospital,P.O. Box 2289,,"O754297780, 2115151/3 achnaji@khst",Dr.A.G Chanji,MBchB.MMMED
5,Aljumaa dispensary,Box 15567 DSM,,,,
6,Alhassan Hassan Medical Centre,P.O. Box 20567,,,Dr. Juma K. Nassoro and Dr. Hassan A. Hassan,
7,Apollo Medical Centre,P.O. Box 8322    ,Mshihiri Street City Centre,Phone 2122274 0784 609152 apollomedics@yahoo.co.uk diarab@hotmail.com,"Dr. nazir H. Arab,Managing Director","MS, DPS, FCS,Consultant Surgeon."
8,Arafa Mbagala rangi tatu dispensary,Box 104871,Kituo cha mwisho Mbagala,,,
9,Arafa Mwananchi Dispensary,P.O. Box 36372,Kimara Baruti - Morogoro Road,0741 413026,Sumbuko D. Kindole,
11,Arafa Upendo Charitable H.C,P.O. Box 45181,Temeke,"2856673, 0784269964, drstmassawe@yahoo.com",Dr. Stanslous Massawe,MD
12,Ave E. A. Ngozingwa,P.O. Box 65104,,,Dr. E. A. Ngozingwa,
13,Azania Dispensary,P. O. Box 32764,Kigogo,754316302,Dr William Betwel,
13,B. P. Clinic,P.O. Box 9043,,,Dr. K. Lubangumya,
14,Bakwata Dispensary,,Temeke,"0787 768125 , 0714 423591","Dr. Hamza, R Shetuli and Rose Peter",
15,Bhoke Dispensary ,P.O. Box 30389,kibaha,"0754 304 442, 0754 056 514","Dr. Matiku R. Nyakarungu, Sr. Ernesther J Mhagama",
16,BIT Dispensary,P.O. Box 1682,Indira Gandhi/Jamhuri,2111519/2128740,Silvia B. Mwanakulya,
16,Bahari Gongo la Mboto,Box 40591,,,,
17,Bonde la Mpunga Dispensary,P.O. Box 77652,Msasani,0755 668670    0755088064               ,,
18,Buguruni Anglican H/C,P. O. Box 25016,Buguruni,0754363 138 mokkso@yahoo.com,Dr Yohana Mokiwa,
18,BP clinic,Box 9043  DSM,,,Dr K Rubagumya,
19,Burhan Hospital,P.O. Box 3037,,O784452165 dramji@hotmail.com,Dr. M.M. Amijee,MD
,,,,,,
19,Chakuwajali Annex Dispensary,P.O. Box 22754,Kando ya Tabata Relini,0764 324758 and             0753 346240,Dr. Mwenda and Mama Dorothy,
20,Dr Mrs Chavda,Box 63141 Dsm,,,,
21,Child Health Clinic,P.O. Box 170,,,,
,,,,,,
,,,,,,
22,Claus Morden Dispensary,P.O. Box 16510,,,Prof. Nicolaus Kinabo,
21`,Dr Cyril Baduey,P.O. Box 2878DSM,,,,
22,Dr. Haybar Umba,P.O. Box 40110,,,,
23,Dr. Mbaga Dispensary,P.O. Box 4955,,,,
24,Dar es Salaam Medical Centre,P.O. Box 734,,,,
27,DCR Clinic and Diagnosis Centre Ltd,P.O. Box 5744,,,Dr. D.D. Chales,
25,E.D.C Polyclinic,P.O. Box 71567,,0754 364 003 and 0754 583 878,"Dr. Atupele Mwamba Mwambapa, Atupele",
26,Ebrahim Haji Hospital,P.O. Box 14861,,"2114995,ehich@cat-net.com,ehich@hotmail.com",Dr. Jamil Merali,MD
27,Ekenywa ENT Medical Centre,P.O. Box 65402,Barabara ya sheikh Yahaya Mwembechai,"0784256216 1713830034 0222172203  0713 830034, immalois@yahoo.com",Dr. L. Ole Lengine,"MD, MMED, MSC "
31,Elerai West-end Dispensary,P.O. Box 2091,,,,
32,Elly Medical Consult Clinic,P.O. Box 4160,Msisiri 'A' Mwananyamala,Phone 2760365,Prof. Easter Mwaikambo,
33,Family Care Clinic and Pharmacy,P.O. Box 3148 ,866 Mfaume Road Upanga West.,Phone:  2152918/9 wmatuja@muchs.ac.tz,"Prof. W.B.P. Matuja, Managing Director",MD
28,Family Medical Services Dispensary,P.O. Box 827 ,THB Estate Kijitonyama,0744 884539,Dr. Margaret Shija Director & Consultant Surgeon,
29,Gati Dispensary,P.O. Box 16090,,O754995066,Dr. E. Ndurambo,SAMO
30,GE Dispensary ,P.O. Box 78080,,0784 433083,Dr Godfrey Kayombo,AMO
31,Gongo la Mboto Dispensary,P.O.Box 18003,G/Mboto,0784301455   byase3@yahoo.com,Dr  Norbert,
