Annie Nkini Health Lab,Mr Charles Mgaya,784391731,,Tanga,Tanga,Laboratory,Yes,NZ
Besha Health Centre,,,,Tanga,Tanga,Hospital,Yes,NZ
Burhan Charitable,,,,Tanga,Tanga,Dispensary,Yes,NZ
Burhan Charitable,,,,Tanga,Muheza,Dispensary,Yes,NZ
Hindumandal Dispensary,,,,Tanga,Tanga,Dispensary,No,NZ
Kinanda Pharmacy,,,,Tanga,Tanga,Pharmacy,Yes,NZ
Manundu Dispensary,Al Haji Mziga,0754 495998,,Tanga,Korongwe,Dispensary,Yes,NZ
Pace Medical Laboratory,Shamkusa Mwanzawa,753246746,manzawasmj@yahoo.com,Tanga,Tanga,Laboratory,Yes,NZ
Safi Medics,Ben Mberesero,0784 408333,safimedics@yahoo.com,Tanga,Tanga,Hospital,Yes,NZ
T.O Health services,,,,Tanga,Korongwe,Hospital,Yes,NZ
Tanga Central Health Centre,Dr Ngayomella,713608526,,Tanga,Tanga,Health Centre,Yes,NZ
Tanga Medicare Centre,William Madundo,713807500,,Tanga,Tanga,Hospital,Yes,NZ
Tanga Motherechild Hospital,,,,Tanga,Tanga,Hospital,Yes,NZ
Cogi Dispensary Majengo,Sangatti Adolf,754560584,sangattiado@yahoo.com,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Debora Pharmacy,,,,Kilimanjaro,Moshi ,Pharmacy,No,NZ
Faraja Health Centre,,,,Kilimanjaro,Moshi ,Health Centre,Yes,NZ
Himo Dispensary,,,,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Hindu Mandal Dispensary,,,,Kilimanjaro,Moshi ,Dispensary,No,NZ
Kibo Paediatric Clinic,Dr Z. C Rauya,744815961,rauyaze@yahoo.com,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Kilimanjaro Hospital,,,,Kilimanjaro,Moshi ,Hospital,Yes,NZ
Kilimanjaro Millenium Dispensary,Dr P. H Lyimo,754618199,pauhlhlyimo@yahoo.com,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Kishamba,,,,Kilimanjaro,Moshi ,Dispensary,No,NZ
Maryland Health Centre,,,,Kilimanjaro,Moshi ,Health Centre,Yes,NZ
Mbwambo Hospital,,,,Kilimanjaro,Moshi ,Hospital,Yes,NZ
Medical consultant,Dr Widmel Pandael,754 790919,widmelp@yahoo.com,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Mmbuyuni Dispensary,,,,Kilimanjaro,Moshi ,Dispensary,No,NZ
Moshi Arusha Occupation health services,,,,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Namanga Dispensary,,,,Kilimanjaro,Moshi ,Dispensary,No,NZ
Neema Dispensary,,,,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
Nshara Community Dispensary,,,,Kilimanjaro,Hai,Dispensary,Yes,NZ
Primmat Hosianna Marternity home,,,,Kilimanjaro,Moshi ,Maternity home,No,NZ
Rombo Pharmacy,,,,Kilimanjaro,Moshi ,Pharmacy,No,NZ
Sabasaba Health Centre,Dr P.B Massawe,754508151,,Kilimanjaro,Moshi ,Health Centre,Yes,NZ
Samaria Health Centre,Raymond Tewe,754808675,samariahospital@gmail.com,Kilimanjaro,Rombo,Health Centre,No,NZ
Siima Charitable Dispensary,Dr J Ngatulie,754244084,,Kilimanjaro,Moshi ,Dispensary,Yes,NZ
St. Joseph Hospital,,,,Kilimanjaro,Moshi ,Hospital,No,NZ
Tumaini Urban Dispensary,,,,Kilimanjaro,Same,Dispensary,Yes,NZ
Upendo Dispensary,,,,Kilimanjaro,Hai,Dispensary,Yes,NZ
Adventist Dispensary,,,,Arusha,Arumeru,Health Centre,Yes,NZ
AICC Hospital,,,,Arusha,Arusha,Hospital,Yes,NZ
Arusha Adventist Medical & Dental Clinic,Christina Ikanda,784 111141,gmabuba@yahoo.com,Arusha,,,Yes,NZ
Arusha Health Centre for Women,Michael Wanjara,754288764,,Arusha,,,Yes,NZ
Arusha Medical Centre,Dr G. B Chamba,713510079,chamba@africaonline.co.tz,Arusha,Arusha,Health Centre,Yes,NZ
Arusha X-Ray Centre,Dr J. J. Lyimo,755241460,,Arusha,Arusha,Health Centre,Yes,NZ
Baraka Dispensary,,,,Arusha,Karatu,Dispensary,Yes,NZ
Cogi Dispensary (Kijenge),,,,Arusha,Arusha,Dispensary,Yes,NZ
Cogi Dispensary (Ngaramtoni),,,,Arusha,Arusha,Dispensary,Yes,NZ
Essoka Dispensary Mirongoine,,,,Arusha,,,,NZ
Faith Community Dispensary,Dr Ibambasaa,754303878,,Arusha,,Dispensary,Yes,NZ
Gloria Dispensary,,,,Arusha,,,,NZ
Goranga Dispensary & Lab Services,,,,Arusha,,,,NZ
Gwassi Dispensary,,,,Arusha,,,Yes,NZ
Heri Dispensary,,,,Arusha,,,Yes,NZ
Holy Spirit Dispensary,,,,Arusha,,,Yes,NZ
Hospital for Women,,,,Arusha,Arusha,Hospital,Yes,NZ
Hospital for Women,,,,Arusha,,,Yes,NZ
Huruma Prinmat Katesh,Agnes Mbazi,0784 930 110,,Arusha,,,Yes,NZ
Ilboru Dispensary,,,,Arusha,Arusha,Dispensary,No,NZ
Isthana asheri Charitable Hospital,Mohamed Alwani,748459600,ich@habari.co.tz,Arusha,Arusha,Hospital,Yes,NZ
Jobi Health Centre,,,,Arusha,,,Yes,NZ
Kammed Consultant Health Centre,,,,Arusha,Arusha,Health Centre,Yes,NZ
KIA Dispensary,,,,Arusha,,,Yes,NZ
Kisengo Dispensary,,,,Arusha,,,,NZ
MMT Pharmacy,,,,Arusha,Arusha,Pharmacy,Yes,NZ
Moshi Arusha Occupational Health Services,Gideon Kombe,"0732971957, 0732971958",,Arusha,,,Yes,NZ
Neema Dispensary,,,,Arusha,Arusha,Dispensary,No,NZ
Olacity Dispensary,,,,Arusha,,,Yes,NZ
Old Arusha Hospital,,,,Arusha,Arusha,Hospital,Yes,NZ
Patandi Dispensary,,,,Arusha,,,,NZ
Shirati CRST Dispensary,,,,Arusha,,,Yes,NZ
Shree Hindul Mandal,,,,Arusha,Arusha,Health Centre,Yes,NZ
Siha Health Centre,Erigard Urio,,sihahealth@gmail.com,Arusha,Arusha,Dispensary,Yes,NZ
Sikh Temple Dispensary,,,,Arusha,,,Yes,NZ
St. Michael Dispensary,,,,Arusha,Arusha,Dispensary,Yes,NZ
St. Thomas Health Centre,,,,Arusha,Arusha,Health Centre,Yes,NZ
Sunny Muslim Charitable,,,,Arusha,,,,NZ
UOA DSA Dispensary,,,,Arusha,,,Yes,NZ
Upendo Dispensary,,,,Arusha,,,,NZ
Usariver Medical Centre,,,,Arusha,Arusha,Hospital,Yes,NZ
